rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Michael Dequina,FALSE,TheMovieReport.com,Rotten,2.5/4,40314,"Of all the would-be Potter projects that have hit the screen over the years, this is one of more polished and enjoyable ones."
m/0814255,Brett Michel,FALSE,Boston Phoenix,Rotten,2.5/4,40365,Mildly diverting.
m/0814255,Chris Bumbray,FALSE,JoBlo's Movie Network,Rotten,5.5/10,40365,"Just another mediocre fantasy flick, but if you enjoyed the books, I'm sure you'll enjoy the film."
m/0814255,Peter Canavese,FALSE,Groucho Reviews,Fresh,2.5/4,40365,"An enjoyable PG-rated family adventure in its own right, but Columbus' film can't live up to the Potter gold standard, and it strays enough from Riordan's source material to make its tween readership blow a gasket every few minutes. [Blu-ray]"
m/0814255,Kevin Carr,FALSE,7M Pictures,Fresh,3.5/5,41121,It provides a great adventure movie for the family audience.
m/0814255,Leigh Paatsch,FALSE,Herald Sun (Australia),Rotten,2.5/5,44008,"OK, but only just."
m/0878835,Jesse Hassenger,FALSE,Filmcritic.com,Fresh,3.5/5,40297,"Keener, Peet, and Hall are so strong, so empathetic even at their weakes"
m/0878835,Richard Roeper,TRUE,Ebert & Roeper,Fresh,4.5/5,40298,"One of the best movies of the year so far. An insightful, darkly funny and multi-layered character study about class and family."
m/0878835,,FALSE,National Post,Rotten,2.5/4,40298,
m/0878835,Avi Offer,FALSE,NYC Movie Guru,Rotten,5.78/10,40299,"Fleetingly amusing, charming and harmless with a terrific cast, but often meanders, lacks bite, and unevenly juggles comedy, drama and romance."
m/0878835,Peter Keough,FALSE,Boston Phoenix,Fresh,3.5/4,40303,Funny and heartbreaking.
m/0878835,Ty Burr,TRUE,Boston Globe,Fresh,3.5/4,40304,"Please Give is a moral comedy that feels at times like one of the late Eric Rohmer's deceptively breezy miniatures, or a mid-period Woody Allen movie - the fussiness."
m/0878835,Josh Larsen,FALSE,LarsenOnFilm,Fresh,3.5/4,40304,Holofcener explores the contemporary female experience with a camera that is at once empathetic and merciless.
m/0878835,Roger Ebert,TRUE,Chicago Sun-Times,Fresh,3.5/4,40304,"The movie is about imperfect characters in a difficult world, who mostly do the best they can under the circumstances, but not always. Do you realize what a revolutionary approach that is for a movie these days?"
m/0878835,Peter Howell,TRUE,Toronto Star,Rotten,1.5/4,40305,"Yet another ramble through the tiny world of the affluent and the idle, a particular fascination of Holofcener's. The only difference this time is the increased emphasis on morbidity."
m/0878835,Peter Travers,TRUE,Rolling Stone,Fresh,3.5/4,40312,There's no movie around right now with a subject more pertinent. It'll hit you hard.
m/0878835,Ann Hornaday,TRUE,Washington Post,Fresh,3.5/4,40312,Please Give is one of those movies that can be enjoyed simply for its funny portraits of human foibles and fumbling grasps at intimacy -- but it's also deceivingly profound.
m/0878835,Chris Hewitt,FALSE,St. Paul Pioneer Press,Fresh,3.5/4,40312,"It's a movie about guilt and family and what we mean when we say something is valuable, all of which are great subjects."
m/0878835,Chris Vognar,TRUE,Dallas Morning News,Fresh,4.5/5,40333,"Nicole Holofcener is frequently lauded for writing vivid female characters, but such praise doesn't really do justice to her full game."
m/0878835,Bill Goodykoontz,TRUE,Arizona Republic,Fresh,4.5/5,40333,"Please Give is an almost perfectly rendered slice of life, buoyant with wonderful performances."
m/0878835,Kimberly Gadette,FALSE,Indie Movies Online,Fresh,8.5/10,40333,"While the characters contend with their precarious self-images, we can't help but reflect on ourselves as well. To borrow a cautionary phrase about that mirror: 'Objects may appear closer than they are.'"
m/0878835,Jason Zingale,FALSE,Bullz-Eye.com,Fresh,3.5/5,40338,"[The script is] sharp and witty, but never forced, and features some of the best pure dialogue you'll hear this year."
m/0878835,Connie Ogle,TRUE,Miami Herald,Fresh,3.5/4,40339,"While Please Give is a film about conscience, it's also slyly funny, with piercing moments of insight and warmth."
m/0878835,Keith Cohen,FALSE,Entertainment Spectrum,Fresh,2.5/4,40348,This plot less movie lacks any momentum and you get no feeling of empathy or sympathy for any of the characters. The ensemble acting is sound with Guilbert standing out with a nostalgic trip down memory lane for viewers.
m/0878835,Gary Wolcott,FALSE,Tri-City Herald,Fresh,4.5/5,40348,Nicole Holofcener creates open-ended characters whose ordinary lives are so fascinating that when the credits roll you're wondering why Transformers gets a sequel and not them.
m/0878835,Dan Lybarger,FALSE,eFilmCritic.com,Fresh,4.5/5,40349,"In both Please Give and Friends with Money, she wrestles with our all-to-human desire for nice things but judiciously avoids ridiculing her characters for sharing a longing that is as universal as it is regrettable."
m/0878835,Philip Martin,FALSE,Arkansas Democrat-Gazette,Rotten,83/100,40362,"It is well-observed but morally stunted, in that it suggests that charity is just another form of self-medication"
m/0878835,Marjorie Baumgarten,FALSE,Austin Chronicle,Fresh,3.5/5,40365,A stroll with these characters is a refreshing break from from the usual film exercises.
m/0878835,Roger Moore,TRUE,Orlando Sentinel,Fresh,3.5/5,40365,"Nicole Holofcener, who writes the most interesting female characters in the movies, delivers another dazzling role to her muse, Catherine Keener, in Please Give, a delightfully dry dramedy about guilt."
m/0878835,Rob Thomas,FALSE,Wisconsin State Journal,Fresh,3.5/4,40416,"The film lives at that uneasy intersection between affluence and compassion, where the well-meaning well-to-do try to figure out how much of their wealth they need to give away to make a difference."
m/0878835,Alexandra MacAaron,FALSE,Women's Voices for Change,Fresh,8.5/10,43072,"In writer/director Nicole Holofcener's crisp, poignant and funny new movie, Kipling's ""white man's burden"" has evolved into the liberal woman's guilt."
m/0878835,Richard Propes,FALSE,TheIndependentCritic.com,Fresh,3.5/4,44094,"About the people who give, the people who don't give and how we finally manage to connect with one another."
m/10,Christopher Null,FALSE,Filmcritic.com,Rotten,2.5/5,38312,
m/10,Peter Canavese,FALSE,Groucho Reviews,Fresh,2.5/4,40585,"10's tossed-off quality keeps it from greatness, but it also distinguishes it from the great mass of contemporary comedies smoothed to a shiny, edgeless formula. [Blu-ray]"
m/1000013-12_angry_men,Brian Webster,FALSE,Apollo Guide,Fresh,92/100,36999,"While the composition of juries might change over time, the issues and attitudes that are explored here are timeless, as is this classic film."
m/1000013-12_angry_men,A.H. Weiler,TRUE,New York Times,Fresh,4.5/5,37761,"Although it may sound ungallant, these 12 Angry Men, are all right without distaff glamour. Their dramas are powerful and provocative enough to keep a viewer spellbound."
m/1000013-12_angry_men,Dan Jardine,FALSE,Apollo Guide,Fresh,82/100,40028,"taut, well-crafted sociological study"
m/1000013-12_angry_men,Eric Melin,FALSE,Scene-Stealers.com,Fresh,3.5/4,40886,"This was Sidney Lumet's first movie and it's as riveting as it was back in the late 50s, when everything was changing."
m/1000013-12_angry_men,Dan Jardine,FALSE,Cinemania,Fresh,84/100,41515,"There is real value is how it allows each member of the cultural mosaic of a jury to develop into distinct, damaged, and interesting characters"
m/1000013-12_angry_men,Mark Jackson,FALSE,Epoch Times,Fresh,4.5/5,43829,"""12 Angry Men"" puts the full range of human good and evil on display. It posits that, ultimately, the universe is benevolent, and our job, regarding each other, is to attempt with our best effort and greatest compassion to elucidate and clarify the truth."
m/1000079-20000_leagues_under_the_sea,Scott Weinberg,FALSE,eFilmCritic.com,Fresh,4.5/5,37463,One of Disney's finest live-action family-flick adventures.
m/1000079-20000_leagues_under_the_sea,Bosley Crowther,TRUE,New York Times,Fresh,3.5/5,38801,"As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea."
m/1000079-20000_leagues_under_the_sea,Richard Luck,FALSE,Film4,Fresh,4.5/5,39881,"A breathtaking piece of entertainment, 20,000 Leagues Under the Sea is amongst the finest live-action films to come out of Disney Studios."
m/10000_bc,Joshua Tyler,FALSE,CinemaBlend,Rotten,1.5/5,39512,A tedious bore in which grubby people stand around muttering in a variety of badly chosen accents.
m/10000_bc,Nick Schager,FALSE,Slant Magazine,Rotten,1.5/4,39513,"Roland Emmerich is partial to cutting-edge special effects and stone-age storytelling, meaning that 10,000 B.C., a dim-witted CG extravaganza set in prehistoric times, is something like his ideal project."
m/10000_bc,A.O. Scott,TRUE,New York Times,Rotten,1.5/5,39513,"It's best not to think too hard about anything in 10,000 BC, a sublimely dunderheaded excursion into human prehistory."
m/10000_bc,Phil Villarreal,FALSE,Arizona Daily Star,Rotten,2.5/4,39513,"I can't figure out exactly when the film 10,000 B.C. is set, but it's definitely ancient times. Like before they had cars, guns or tabloid blogs. And definitely before they had cohesive plots or dialogue that made sense."
m/10000_bc,Vic Holtreman,FALSE,Screen Rant,Rotten,2.5/5,39514,"While there's an attempt to make this a personal story, it's really about what we thought it would be: Incredible vistas populated with a combination of ancient temples, pyramids, woolly mammoths and a cast of (CGI) thousands."
m/10000_bc,Ken Fox,FALSE,TV Guide,Fresh,2.5/4,39514,"Too dumb to take seriously, but just silly enough to be sort of fun."
m/10000_bc,Claudia Puig,TRUE,USA Today,Rotten,1.5/4,39514,Even a cameo by Pauly Shore in Encino Man would liven up this bombastic bore.
m/10000_bc,James Berardinelli,TRUE,ReelViews,Rotten,1.5/4,39514,"10,000 B.C. isn't only brain-dead, it's completely dead. It's inert and without a heartbeat."
m/10000_bc,Duane Dudek,FALSE,Milwaukee Journal Sentinel,Rotten,1.5/4,39514,"The characters may speak English, but the narrative is gibberish."
m/10000_bc,Robert W. Butler,FALSE,Kansas City Star,Rotten,0.5/4,39514,A strong camp sensibility is just about the only thing that might have saved this lumbering beast.
m/10000_bc,Liam Lacey,TRUE,Globe and Mail,Rotten,1.5/4,39514,"If you thought 300 was silly, think of 10,000 BC as 33.333 times sillier."
m/10000_bc,Sean P. Means,FALSE,Salt Lake Tribune,Rotten,1.5/4,39514,"There have been funny movies about prehistoric times ... but for real gut-busting laughs, it's hard to top the ridiculousness of 10,000 B.C."
m/10000_bc,Peter T. Chattaway,FALSE,Christianity Today,Rotten,1.5/4,39514,"It promises spectacle and action but fails to deliver all that much of either, and ends up being so dull it can't even be enjoyed for its camp value."
m/10000_bc,Peter Canavese,FALSE,Groucho Reviews,Rotten,1.5/4,39514,"Our favorite Teutonic huckster presumes that prehistory means that anything narrative goes: hey, who can prove him wrong?"
m/10000_bc,Daniel M. Kimmel,FALSE,Worcester Telegram & Gazette,Rotten,1.5/4,39514,"...it's laughably bad, which means that if you can approach it as a really stupid film you just might find yourself enjoying it."
m/10000_bc,Carrie Rickey,TRUE,Philadelphia Inquirer,Rotten,1.5/4,39514,Would that Emmerich took as much care with his human characters as with inanimate objects and CGI animals.
m/10000_bc,Mike McGranaghan,FALSE,Aisle Seat,Rotten,1.5/4,39518,"If Mel Gibson remade Apocalypto and cast it with the Geico cavemen, he might end up with something akin to 10,000 B.C.."
m/10000_bc,Rich Cline,FALSE,Shadows on the Wall,Rotten,2.5/5,39521,"Even though there's never a hint of either research or gritty realism, it's still good fun."
m/10000_bc,Daniel Etherington,FALSE,Film4,Rotten,2.5/5,39521,Should have been a lot more fun.
m/10000_bc,Matt Brunson,FALSE,Creative Loafing,Rotten,1.5/4,39523,"A blind man is brought up on a slab from beneath the earth, where he has spent years cooped up in cramped quarters with nothing to keep him entertained. After spending two hours in a darkened theater watching 10,000 B.C., I could relate."
m/10000_bc,Margaret Pomeranz,FALSE,At the Movies (Australia),Rotten,0.5/5,39526,"You actually have to feel sorry for the actors, one of which is New Zealander Cliff Curtis, the only person I recognised."
m/10000_bc,Lori Hoffman,FALSE,Atlantic City Weekly,Fresh,2.5/4,39534,"I enjoyed the movie, so it qualifies as a mammoth guilty pleasure"
m/10000_bc,Walter Chaw,FALSE,Film Freak Central,Rotten,0/4,39540,It's a film that countryman Uwe Boll would have made had he the budget and the cinematographer
m/10000_bc,Stefan Birgir Stefansson,FALSE,sbs.is,Rotten,0.5/4,39570,"crap, and more crap in a crap bucket"
m/10000_bc,Bob Grimm,FALSE,Tucson Weekly,Rotten,0/5,39572,One of the worst movies I've ever seen.
m/10000_bc,Kevin McCarthy,FALSE,BDK Reviews,Rotten,0/5,39580,The filmmakers should be ashamed of themselves for even allowing this movie to enter a movie theatre. It was like a bad made for TV special that you would see on ABC or NBC.
m/10000_bc,Adam Tobias,FALSE,Watertown Daily Times,Rotten,1.5/5,39588,"In fact, while sitting through this banal attempt at a big-scale epic, I could not help but go through a checklist in my mind of all the movies ""10,000 B.C."" borrows from."
m/10000_bc,Robert Davis,FALSE,Paste Magazine,Rotten,1.5/5,39607,"But the folks who made 10,000 B.C. have filled their film with a sub-Disney plot and inserted a few measly slivers of action that hardly warrant all the mystical hubbub and romantic angst."
m/10000_bc,Willie Waffle,FALSE,WaffleMovies.com,Rotten,0/4,39619,A disaster that can't even get the computer generated images right.
m/10000_bc,Austin Kennedy,FALSE,Sin Magazine,Rotten,1.5/4,39651,"People expecting a fun action movie will be severely disappointed. If you get drunk with some buddies and go to make fun of it, you might like it more. But that doesn't make it a good movie"
m/10000_bc,Nick Rogers,FALSE,The Film Yap,Rotten,0.5/4,40446,"Some backgrounds look as though Roland Emmerich and crew broke into a museum after hours and filmed in dioramas. Rather than a disaster film, this was just plain disaster - a departure from Emmerich's usually effective milieu and his most moronic movie."
m/10000_bc,Matthew Lucas,FALSE,"The Dispatch (Lexington, NC)",Rotten,1.5/4,43622,A prehistoric train wreck.
m/10000_bc,Richard Propes,FALSE,TheIndependentCritic.com,Rotten,1.5/4,44098,A remarkably beautiful yet soulless film.
m/1000121-39_steps,James Kendrick,FALSE,Q Network Film Desk,Fresh,3.5/4,41098,"an indelibly fun movie, one of Hitchcock's early triumphs of sheer enjoyment"
m/1000123-310_to_yuma,Brian Webster,FALSE,Apollo Guide,Fresh,76/100,39321,An enjoyable western that's an excellent reminder of how - in the world of movies - sometimes less is best.
m/1000123-310_to_yuma,Bruce Dancis,FALSE,Sacramento Bee,Fresh,3.5/4,39332,The new 3:10 to Yuma will have to be quite a film to stand up to the original.
m/1000123-310_to_yuma,Rory L. Aronsky,FALSE,Film Threat,Fresh,4.5/5,39332,"The minutes tick toward 3:10, and all we can do is watch and hope that it all turns out ok. That's the best kind of Western, one that allows feelings like that to emerge while watching."
m/1000123-310_to_yuma,Peter Canavese,FALSE,Groucho Reviews,Fresh,3.5/4,41422,"Distinguished by its thoughtfulness regarding the nature of Western heroism, as defined not only by dead-eye gunplay, but by family, community, and moral rectitude. [Criterion Blu-ray]"
m/1000123-310_to_yuma,Matt Brunson,FALSE,Creative Loafing,Fresh,3.5/4,41434,"Like The Gunfighter and Winchester '73, 3:10 to Yuma is one of those defining '50s Westerns that is well-known by film buffs but has never reached the familiarity level of a High Noon or Shane."
m/10002008-charly,Steve Rhodes,FALSE,Internet Reviews,Rotten,2.5/4,37633,"Beers, who, when she's given the right lines, can charm the paint off the wall ... [but] the script goes wrong at several key junctures."
m/1000204-abraham_lincoln,Phil Hall,FALSE,Film Threat,Fresh,2.5/5,41229,Recommended solely for Walter Huston's performance.
m/1000204-abraham_lincoln,,FALSE,TV Guide,Fresh,3.5/4,41505,"Brilliant flashes of direction permeate the entire film, and it remains distinctively a product of the great master."
m/1000204-abraham_lincoln,Matthew Lucas,FALSE,From the Front Row,Rotten,1.5/4,43683,"Feels like a relic, a sad, weak swan song from one of cinema's most legendary filmmakers."
m/10002114-dark_water,David Nusair,FALSE,Reel Film Reviews,Fresh,2.5/4,37738,"...while Dark Water isn't a complete wash (no pun intended), watched side-by-side with Ringu, it ultimately comes off as a pale successor."
m/10002114-dark_water,Walter Chaw,FALSE,Film Freak Central,Fresh,3.5/4,37804,The picture is melancholy remembrance and its sources of fear are intimate and brilliant.
m/10002114-dark_water,Rory L. Aronsky,FALSE,Film Threat,Fresh,3.5/5,38536,"He [Nakata] wants us to absorb, to feel a location, and to understand the plight of the characters before he goes any further."
m/1000224-accused,Christopher Null,FALSE,Filmcritic.com,Fresh,3.5/5,37353,Enough of a social commentary to make it worthwhile
m/1000224-accused,Jamie Gillies,FALSE,Apollo Guide,Fresh,87/100,37376,
m/1000224-accused,Scott Weinberg,FALSE,eFilmCritic.com,Fresh,3.5/5,37463,A sobering and seriously well-acted tale of rape and retribution.
m/10002516-lost_city,Ed Gonzalez,FALSE,Slant Magazine,Rotten,1.5/4,38828,"Garcia offers the film to the Cuban community as something we should all be happy to see, but his esteem does not excuse the film's aesthetic mediocrity, cultural ignorance, and colossal self-absorption."
m/10002516-lost_city,Maitland McDonagh,FALSE,TV Guide,Rotten,2.5/4,38835,"Garcia's aching nostalgia for the glittering Havana of his dreams is palpable, but he winds up painting by the same 'doomed romance against a backdrop of revolution' numbers as piffle like Dirty Dancing: Havana Nights."
m/10002516-lost_city,Lisa Rose,TRUE,Newark Star-Ledger,Rotten,1.5/4,38835,... a lost movie that seems like it takes 16 years to end.
m/10002516-lost_city,Glenn Whipp,FALSE,Los Angeles Daily News,Fresh,2.5/4,38835,"The sprawling -- two hours, 23 minutes -- epic meanders in places and its mix of tones and templates do not always serve its narrative. But the movie comes from the heart, filled with a passion that carries it through its rougher patches."
m/10002516-lost_city,Ed Scheid,FALSE,Boxoffice Magazine,Rotten,2.5/5,38835,... the film seems like a mini-series edited to feature length without time for character development.
m/10002516-lost_city,Gary Goldstein,FALSE,Reel.com,Rotten,2.5/4,38835,"Noteworthy and well-intended, The Lost City isn't exactly a lost opportunity, just a sincerely limited one."
m/10002516-lost_city,Jeanne Aufmuth,FALSE,Palo Alto Weekly,Rotten,2.5/4,38847,Handsomely executed but hopelessly flawed.
m/10002516-lost_city,Peter Canavese,FALSE,Groucho Reviews,Rotten,2.5/4,38849,"Musical...handsome...poignantly nostalgic...The Lost City is a lot of things, but what it's not is incisive."
m/10002516-lost_city,David Elliott,FALSE,San Diego Union-Tribune,Rotten,2.5/4,38863,"The coming CD, not the DVD, should be the keeper."
m/10002516-lost_city,Thomas Delapa,FALSE,Boulder Weekly,Rotten,1.5/4,38870,"Our cue that Garcia is acting is when he furiously bats his eyes in his smoldering emotional scenes. Either that, or he's allergic to the smoke from all those Cuban cigars."
m/10002516-lost_city,Liam Lacey,TRUE,Globe and Mail,Rotten,1.5/4,38884,"Unfortunately, Garcia is inept as a director. His scenes are shapeless and bloated with self-important speeches."
m/10002516-lost_city,Bill Muller,TRUE,Arizona Republic,Fresh,3.5/5,38890,Unsteady but often entrancing.
m/10002516-lost_city,Marjorie Baumgarten,FALSE,Austin Chronicle,Rotten,2.5/5,38892,"Even though the movie is made with an abundance of heart, it's sad to report that the final result has only a weak pulse."
m/10002516-lost_city,Duane Dudek,FALSE,Milwaukee Journal Sentinel,Rotten,2.5/4,38898,"The result has a potluck rather than persuasive, integrated quality."
m/10002516-lost_city,Liz Braun,FALSE,Jam! Movies,Rotten,2.5/5,38899,Garcia's storytelling lacks highs and lows and has far too much going on. And on.
m/10002516-lost_city,Philip Martin,FALSE,Arkansas Democrat-Gazette,Rotten,74/100,38920,"...plays like a confusing and inferior Caribbean analog to The Godfather, without anything like the narrative drive of Coppola's film."
m/10002516-lost_city,Amber Wilkinson,FALSE,Eye for Film,Rotten,1.5/5,40365,By the half way point I was beginning to take back everything I said re Steven Soderbergh's dull-as-ditchwater Che: Part II - even he manages to drum up more tension than this.
m/10002519-breaking_point,Eric Melin,FALSE,Scene-Stealers.com,Fresh,3.5/4,42987,"The Breaking Point adapts Hemingway's book and wrings out some genuine notes of solid tragedy, as well as a more nuanced performance from its lead actor."
m/10002519-breaking_point,James Kendrick,FALSE,Q Network Film Desk,Fresh,3.5/4,42994,The insistence and courage of the film's final shot elevates it from a very good film to a nearly great one.
m/10002519-breaking_point,Nicholas Bell,FALSE,IONCINEMA.com,Fresh,3.5/5,44082,"Arguably the superior mounting of the Ernest Hemingway story, The Breaking Point proves moral gloom exists as equally and virulently sunny-side up."
m/1000253-adams_rib,Dan Jardine,FALSE,Apollo Guide,Fresh,86/100,36526,"Adam's Rib gives us writers, performers and a director all operating at peak levels of performance; it's a classic comedy."
m/1000253-adams_rib,,FALSE,TV Guide,Fresh,3.5/4,39371,"Delightful, sophisticated comedy sparked by the famous chemistry between Katharine Hepburn and Spencer Tracy."
m/1000253-adams_rib,Dan Jardine,FALSE,Cinemania,Fresh,81/100,41485,"Despite many improbabilities, this is a barbed and entertaining comedy thanks to some great casting and a very clever Kanin/Gordon script"
m/10002635-bridge_of_san_luis_rey,Lou Lumenick,TRUE,New York Post,Rotten,0/4,38513,An endless powdered-wigs-and-feathered-pen slog.
m/10002635-bridge_of_san_luis_rey,Peter Howell,TRUE,Toronto Star,Rotten,1.5/4,38562,"As a director, McGuckian is overwhelmed by the immensity of her cast, and her misguided attempt to make a Hollywood epic on a European production budget."
m/10002635-bridge_of_san_luis_rey,Liam Lacey,TRUE,Globe and Mail,Rotten,2.5/4,38562,Best characterized as an honourable folly.
m/10002635-bridge_of_san_luis_rey,Walter Chaw,FALSE,Film Freak Central,Rotten,0.5/4,38700,"How to turn an embarrassment of riches into an embarrassment, period."
m/10002673-prowler,Gabe Leibowitz,FALSE,Film and Felt,Fresh,56/100,40242,"Losey's script is fine, but doesn't really draw the audience in, or inspire compassion for any of the characters."
m/10002673-prowler,Chris Cabin,FALSE,Filmcritic.com,Fresh,4.5/5,40255,a ferociously perverse noir masterpiece
m/10002673-prowler,John Beifuss,FALSE,"Commercial Appeal (Memphis, TN)",Fresh,3.5/4,40585,The rectangle-within-a-rectangle symmetry of the window within the frame of the movie screen in the opening scene reinforces the notion that the filmgoer is essentially a licensed Peeping Tom...
m/10002673-prowler,Jeremy Heilman,FALSE,MovieMartyr.com,Fresh,78/100,41114,"The Prowler becomes a twisted vision of American entrepreneurship, with the two leads forming a grotesque nuclear family."
m/10003276-criminal,Ed Gonzalez,FALSE,Slant Magazine,Rotten,1.5/4,38233,Criminal's biggest offense may be that Jacobs and his actors make absolutely no attempt to rewrite Nine Queens.
m/10003276-criminal,Peter Canavese,FALSE,Groucho Reviews,Fresh,2.5/4,38235,"By the end, those who haven't seen Nine Queens may applaud the entertaining sleight-of-hand...those who have may lament that Criminal is the proverbial old dog."
m/10003276-criminal,Sean O'Connell,FALSE,Filmcritic.com,Rotten,2.5/5,38237,an easy mark to make and a hard movie to sell to paying customers.
m/10003276-criminal,Walter Chaw,FALSE,Film Freak Central,Rotten,1.5/4,38237,A retread and it feels like it.
m/10003276-criminal,Paul Doro,FALSE,Milwaukee Journal Sentinel,Fresh,2.5/4,38239,Manages to satisfy despite being inferior to the original on nearly every level.
m/10003276-criminal,Stephen Holden,TRUE,New York Times,Fresh,3.5/5,38239,John C. Reilly stars as a gimlet-eyed con man in this clever and diverting adaptation of the Argentine thriller Nine Queens.
m/10003276-criminal,Chris Hewitt,FALSE,St. Paul Pioneer Press,Fresh,2.5/4,38239,"A light, speedy movie, as agreeably modest as a pop hit or a BLT."
m/10003276-criminal,Randy Cordova,TRUE,Arizona Republic,Fresh,4.5/5,38239,"It's hip, witty and fun, and will remind you why movies are made in the first place."
m/10003276-criminal,Jeff Strickler,TRUE,Minneapolis Star Tribune,Fresh,3.5/4,38239,Fans of con-man capers will have no regrets after watching Criminal.
m/10003276-criminal,Aaron Hillis,FALSE,Premiere Magazine,Fresh,2.5/4,38240,"...newbies looking for an easy-breezy Ocean's Eleven-and-a-Half should get a kick out of this frugally low-key, innocuous cover song of a caper."
m/10003276-criminal,James Verniere,FALSE,Boston Herald,Fresh,2.5/4,38240,"Entertaining and well acted, but redundant and a bit machinelike."
m/10003276-criminal,Roger Ebert,TRUE,Chicago Sun-Times,Rotten,2.5/4,38240,"Follows the original fairly closely, and because I already knew the plot secrets, it couldn't work on me in its intended way. As the recycled characters, dialog and events turned up, there seemed to be an echo in the room."
